Name,Abundance,Canopy
Acer pseudoplatanus,2329,23.79181286549705
Cupressus,1,4.490726817042577
Acer platanoides,157,31.02229299363065
Sophora japonica,376,39.656648936170185
Tilia cordata,509,19.849115913556044
Acer campestre,458,11.875764192139782
Acer tataricum ssp. ginnala,6,3.1
Fagus,22,33.78181818181819
Acer opalus,1,3.1
Sorbus,11,6.363636363636362
Carpinus betulus,536,13.545895522388207
Prunus avium,208,14.20528846153844
Fraxinus,69,14.288405797101449
Prunus serrulata,20,14.520000000000007
Parrotia persica,272,6.696323529411736
Ostrya carpinifolia,211,13.715165876777233
Celtis australis,1028,42.336186770427965
Robinia pseudoacacia,269,32.61561338289967
Betula pendula,130,22.091538461538416
Picea abies,130,25.848461538461542
Quercus robur,272,16.781617647058837
Pinus nigra,335,23.548955223880736
Pyrus calleryana,167,21.663473053892215
Liriodendron tulipifera,301,11.181727574750791
Acer,73,45.65753424657534
Juglans,3,70.56666666666666
Acacia,1,78.5
Crataegus,31,3.699999999999998
Koelreuteria paniculata,14,39.15714285714286
Pinus,4,40.599999999999994
Abies nordmanniana,1,28.3
Prunus cerasifera,350,13.30057142857147
Sorbus aucuparia,16,5.6812499999999995
Platanus x hispanica,502,102.36274900398422
Corylus colurna,88,16.953409090909066
Morus alba,76,33.07236842105265
Cupressus sempervirens,151,5.078145695364235
Diospyros kaki,7,23.385714285714283
Fraxinus ornus,131,22.174045801526738
Fraxinus americana,36,9.036111111111115
Fraxinus excelsior,144,27.93055555555551
Malus sylvestris,2,9.85
Morus nigra,92,36.09565217391305
Populus nigra,110,48.512727272727325
Prunus domestica,4,7.1
Prunus,38,11.586842105263168
Tilia tomentosa,4,7.2250000000000005
Tilia x europaea,471,33.697876857749485
Ulmus,51,81.96274509803928
Pyrus communis,21,5.666666666666664
Magnolia x soulangeana,13,37.06153846153847
Tilia platyphyllos,61,37.475409836065566
Tilia,23,33.939130434782605
Pinus sylvestris,30,17.690000000000012
Cercis siliquastrum,56,11.376785714285722
Juglans nigra,14,19.55
Malus,9,9.777777777777777
Metasequoia glyptostroboides,8,30.624999999999996
Quercus rubra,148,23.429054054054053
Alnus,74,8.641891891891902
Salix babylonica,9,26.144444444444442
Thuja occidentalis,2,11.350000000000001
Platanus x acerifolia 'Bloodgood',220,49.921818181818274
Prunus dulcis,21,4.752380952380953
Sequoia sempervirens,1,12.6
Cedrus atlantica,70,65.0428571428572
Ulmus pumila,14,105.07142857142857
Cedrus deodara,246,76.58658536585355
Populus alba,22,84.41363636363634
Aesculus hippocastanum,581,40.886919104991165
Catalpa bignonioides,18,58.02777777777778
Quercus ilex,26,18.200000000000014
Pinus wallichiana,10,48.18
Fraxinus angustifolia,132,11.982575757575741
Juglans regia,7,63.17142857142857
Quercus,19,21.77368421052632
Nerium oleander,7,3.028571428571429
Lagerstroemia,1,19.6
Liquidambar styraciflua,141,16.278014184397133
Salix,7,24.257142857142856
Taxodium distichum,12,25.275000000000006
Fagus sylvatica,120,25.3958333333333
Ilex,17,13.600000000000003
Platanus occidentalis,20,117.05499999999999
Ulmus minor,46,62.654347826086955
Pinus strobus,24,37.141666666666666
Acer rubrum,24,15.820833333333338
Fraxinus angustifolia ssp. Oxycarpa,2,4.45
Sambucus nigra,17,11.1
Acer negundo,178,46.40112359550573
Alnus glutinosa,6,14.933333333333332
Magnolia kobus,1,0.8
Crataegus monogyna,5,6.839999999999999
Acer saccharinum,89,42.19438202247192
Cedrus,9,67.89999999999999
Acer monspessulanum,13,13.153846153846153
Ginkgo biloba,59,32.41016949152539
Ligustrum lucidum,36,23.17777777777778
Ficus carica,10,18.6
Pterocarya,6,32.15
Olea europaea,13,16.092307692307692
Pinus coulteri,2,63.6
Quercus petraea,38,31.54473684210525
Abies alba,31,29.08064516129032
Cedrus libani,52,97.64423076923079
Chamaecyparis lawsoniana,18,10.655555555555553
Hibiscus syriacus,2,1.1
Sequoiadendron giganteum,3,40.06666666666667
Pyrus,12,9.033333333333331
Lagerstroemia indica,15,0.8266666666666668
Thuja orientalis,36,19.647222222222233
Morus,4,24.175
Pseudotsuga menziesii,31,27.487096774193553
Crataegus x lavallei,11,4.154545454545454
Acer buergerianum,35,9.982857142857151
Paulownia tomentosa,23,53.76521739130435
Prunus mahaleb,11,50.300000000000004
Diospyros lotus,7,18.657142857142855
Prunus laurocerasus,7,94.82857142857142
Ligustrum,15,18.759999999999998
Magnolia grandiflora,60,7.041666666666674
Ilex aquifolium,19,3.9157894736842107
Platanus,27,172.99999999999994
Acer palmatum,41,22.22682926829269
Tilia x vulgaris,19,6.231578947368419
Ailanthus altissima,11,48.23636363636363
Cornus mas,2,7.1
Eriobotrya japonica,3,6.1000000000000005
Gleditsia triacanthos,60,32.73166666666665
Laburnum anagyroides,1,21.7
Larix decidua,9,19.72222222222222
Laurus nobilis,6,27.399999999999995
Magnolia,6,8.516666666666667
Picea pungens,11,14.799999999999999
Picea,5,28.679999999999996
Picea obovata,4,11.225
Pinus bungeana,1,19.6
Platanus orientalis,22,132.6863636363636
Populus,6,49.81666666666666
Pterocarya rhoifolia,13,38.64615384615385
Quercus pubescens,67,33.90895522388062
Rhus typhina,1,19.6
Salix x sepulcralis v. chrysocoma,2,21.7
Sorbus thuringiaca,8,14.287499999999998
Taxus baccata,47,32.117021276595736
Thuja,9,10.488888888888887
Tilia x euchlora,15,26.946666666666665
Ulmus laevis,3,28.8
Davidia involucrata,10,18.22
Clerodendrum trichotomum,25,6.951999999999999
Ligustrum japonicum,23,5.039130434782606
Prunus padus,6,31.950000000000003
Photinia x fraseri,10,11.449999999999998
Photinia serrulata,5,2.6399999999999997
Prunus lusitanica,1,3.1
Quercus cerris,5,1.2
Populus tremula,2,86.75
Zelkova carpinifolia,5,0.8
Acer x freemanii,26,3.9538461538461545
Eucalyptus cordata,1,3.1
Picea glauca,5,22.32
Betula nigra,20,17.335
Betula,103,10.333980582524271
Picea sitchensis,1,7.1
Malus floribunda,19,7.505263157894734
Sorbus torminalis,7,17.74285714285714
Prunus amygdalus,1,0.8
Arbutus unedo,2,0.8
Cupressus arizonica,6,29.983333333333334
Abies,8,23.475
Ulmus glabra,26,57.619230769230754
Chamaecyparis,3,11.333333333333334
Cupressus torulosa,3,22.0
Thuja plicata,2,7.1
Cupressus lusitanica,3,30.900000000000002
Pinus pinaster,3,17.833333333333332
Pinus cembra,1,38.5
Pinus halepensis,3,28.3
Abies pinsapo,1,63.6
Betula lenta,1,7.1
Aesculus,1,176.7
Alnus cordata,1,50.3
Catalpa,1,38.5
Albizia julibrissin,3,76.7
Tamarix gallica,1,7.1
Acer tataricum,1,3.1
Salix alba,2,39.3
Maclura pomifera,2,3.1
Alnus incana,10,25.71
Torreya nucifera,1,28.3
Juniperus drupacea,4,13.725000000000001
Calocedrus decurrens,1,12.6
Jasminum,2,21.7
Wisteria sinensis,4,21.7
Corylus avellana,12,0.6833333333333331
Cornus sanguinea,2,21.7
Viburnum sieboldii,2,21.7
Berberis thunbergii,21,21.699999999999992
Cornus,8,2.1
Corylus maxima,6,21.7
Punica granatum,2,21.7
Hedera helix,2,21.7
Buxus sempervirens,16,21.699999999999992
Cornus nuttallii,1,21.7
Lonicera,3,21.7
Philadelphus pubescens,2,21.7
Parthenocissus,13,21.699999999999992
Juniperus chinensis,6,21.7
Pittosporum tobira,3,3.1
Elaeagnus,2,21.7
Spiraea japonica,2,21.7
Osmanthus fragrans,3,21.7
Spiraea,2,21.7
Rhododendron obtusum,3,21.7
Calycanthus,2,21.7
Zanthoxylum flavum,1,21.7
Viburnum,2,21.7
Syringa vulgaris,1,21.7
Forsythia viridissima,1,21.7
Elaeagnus pungens,7,21.699999999999996
Aucuba japonica,2,21.7
Salix magnifica,3,21.7
Philadelphus,3,21.7
Forsythia x intermedia,1,21.7
