yr,month,max,min,avg
1993,1,12.0,-9.0,0.43548387096774194
1993,2,11.0,-6.0,1.6428571428571428
1993,3,27.0,-5.0,8.0
1993,4,30.0,-1.0,13.183333333333334
1993,5,34.0,6.0,17.983870967741936
1993,6,32.0,10.0,20.966666666666665
1993,7,32.0,8.0,21.580645161290324
1993,8,37.0,7.0,23.161290322580644
1993,9,29.0,6.0,16.8
1993,10,21.0,-1.0,10.64516129032258
1993,11,16.0,-7.0,4.85
1993,12,10.0,-11.0,0.3064516129032258
1997,1,8.0,-6.0,1.2419354838709677
1997,2,14.0,-7.0,3.3392857142857144
1997,3,25.0,-2.0,10.161290322580646
1997,4,26.0,-1.0,11.7
1997,5,32.0,5.0,17.048387096774192
1997,6,32.0,8.0,19.55
1997,7,33.0,9.0,21.403225806451612
1997,8,35.0,10.0,22.580645161290324
1997,9,33.0,6.0,19.7
1997,10,26.0,-5.0,11.016129032258064
1997,11,16.0,-3.0,5.333333333333333
1997,12,13.0,-7.0,2.1451612903225805
2001,1,9.0,-8.0,1.3225806451612903
2001,2,14.0,-6.0,4.071428571428571
2001,3,22.0,-1.0,9.790322580645162
2001,4,24.0,0.0,11.366666666666667
2001,5,34.0,7.0,19.43548387096774
2001,6,34.0,6.0,20.033333333333335
2001,7,36.0,12.0,23.56451612903226
2001,8,34.0,10.0,23.451612903225808
2001,9,28.0,3.0,15.316666666666666
2001,10,22.0,5.0,13.451612903225806
2001,11,17.0,-6.0,3.7
2001,12,13.0,-11.0,-0.9193548387096774
2005,1,11.0,-6.7,0.7161290322580643
2005,2,12.2,-6.8,2.4714285714285715
2005,3,26.2,-8.2,8.512903225806452
2005,4,27.3,2.9,13.003333333333334
2005,5,32.8,7.4,18.995161290322574
2005,6,37.3,10.0,23.25833333333333
2005,7,35.6,12.8,23.714516129032255
2005,8,33.2,12.2,21.906451612903226
2005,9,32.5,9.6,19.398333333333326
2005,10,19.6,2.9,12.100000000000003
2005,11,14.6,-4.8,5.424999999999999
2005,12,8.8,-9.6,-0.3758064516129032
2009,1,10.2,-8.9,1.4596774193548385
2009,2,16.7,-4.8,4.130357142857142
2009,3,19.2,-0.6,8.77258064516129
2009,4,25.2,6.0,14.058333333333339
2009,5,33.6,9.5,20.08064516129032
2009,6,31.7,10.0,21.53666666666667
2009,7,33.9,13.1,22.940322580645173
2009,8,33.5,13.4,24.12580645161291
2009,9,30.1,10.0,19.235000000000003
2009,10,24.7,0.6,12.985483870967743
2009,11,14.0,-1.4,7.411666666666664
2009,12,12.2,-9.5,2.162903225806452
2013,1,17.7,-3.3,3.1499999999999995
2013,2,12.6,-3.4,3.1303571428571417
2013,3,16.0,-0.8,7.4467741935483875
2013,4,26.8,3.5,13.911666666666667
2013,5,26.5,5.1,15.824193548387097
2013,6,33.4,10.1,20.761666666666663
2013,7,35.8,13.7,24.827419354838707
2013,8,36.0,13.3,23.604838709677413
2013,9,29.5,9.3,18.789999999999985
2013,10,20.1,5.2,13.793548387096777
2013,11,17.6,-4.4,8.556666666666668
2013,12,15.5,-3.5,4.130645161290322
2017,1,9.3,-7.7,0.6822580645161294
2017,2,13.8,-0.8,6.4589285714285705
2017,3,24.0,1.2,12.114516129032257
2017,4,24.0,3.6,13.881666666666668
2017,5,31.2,5.8,18.785483870967745
2017,6,33.7,9.8,23.24499999999999
2017,7,33.7,12.2,23.45645161290323
2017,8,35.5,13.4,23.627419354838707
2017,9,25.9,7.1,16.63166666666667
2017,10,21.3,2.4,13.53064516129033
2017,11,13.8,-3.5,6.551666666666664
2017,12,10.1,-6.7,1.1822580645161285
2021,1,8.2,-9.4,0.019354838709677594
2021,2,18.9,-4.4,5.823214285714284
2021,3,25.3,-1.5,8.901612903225809
2021,4,25.6,-0.7,11.826666666666672
2021,5,26.6,7.0,15.774193548387098
2021,6,33.6,13.1,23.658333333333335
2021,7,33.5,14.4,23.040322580645164
2021,8,32.9,9.6,21.388709677419353
2021,9,29.7,11.1,19.578333333333337
2021,10,22.0,1.7,11.945161290322583
2021,11,14.1,-2.3,7.14333333333333
2021,12,11.5,-5.7,2.8403225806451613
