yr,month,day,min,max
1993,1,1,-9.0,1.0
1993,1,2,-9.0,-1.0
1993,1,3,-4.0,1.0
1993,1,4,-9.0,0.0
1993,1,5,-5.0,2.0
1993,1,6,-4.0,4.0
1993,1,7,-3.0,5.0
1993,1,8,-3.0,8.0
1993,1,9,-4.0,5.0
1993,1,10,-6.0,0.0
1993,1,11,-1.0,3.0
1993,1,12,2.0,5.0
1993,1,13,-1.0,5.0
1993,1,14,0.0,8.0
1993,1,15,-2.0,8.0
1993,1,16,-3.0,7.0
1993,1,17,-5.0,1.0
1993,1,18,-2.0,1.0
1993,1,19,-3.0,3.0
1993,1,20,-3.0,5.0
1993,1,21,-4.0,4.0
1993,1,22,-4.0,5.0
1993,1,23,-2.0,2.0
1993,1,24,-1.0,3.0
1993,1,25,1.0,12.0
1993,1,26,-5.0,7.0
1993,1,27,-5.0,9.0
1993,1,28,-6.0,7.0
1993,1,29,-4.0,7.0
1993,1,30,-5.0,8.0
1993,1,31,-4.0,5.0
1993,2,1,-3.0,7.0
1993,2,2,-4.0,6.0
1993,2,3,-2.0,7.0
1993,2,4,-3.0,8.0
1993,2,5,-4.0,6.0
1993,2,6,-2.0,7.0
1993,2,7,-1.0,11.0
1993,2,8,-4.0,5.0
1993,2,9,-5.0,10.0
1993,2,10,-5.0,6.0
1993,2,11,-3.0,5.0
1993,2,12,-5.0,6.0
1993,2,13,-4.0,7.0
1993,2,14,-4.0,7.0
1993,2,15,-6.0,7.0
1993,2,16,-1.0,6.0
1993,2,17,-4.0,4.0
1993,2,18,-6.0,11.0
1993,2,19,-4.0,8.0
1993,2,20,-1.0,11.0
1993,2,21,-2.0,7.0
1993,2,22,-2.0,4.0
1993,2,23,-3.0,2.0
1993,2,24,-3.0,5.0
1993,2,25,-5.0,8.0
1993,2,26,-5.0,7.0
1993,2,27,-5.0,7.0
1993,2,28,-2.0,5.0
1993,3,1,1.0,5.0
1993,3,2,1.0,8.0
1993,3,3,1.0,9.0
1993,3,4,0.0,10.0
1993,3,5,-1.0,7.0
1993,3,6,-5.0,14.0
1993,3,7,-2.0,13.0
1993,3,8,-2.0,12.0
1993,3,9,-5.0,12.0
1993,3,10,-3.0,12.0
1993,3,11,-2.0,15.0
1993,3,12,-1.0,14.0
1993,3,13,1.0,15.0
1993,3,14,4.0,15.0
1993,3,15,3.0,17.0
1993,3,16,-1.0,20.0
1993,3,17,0.0,27.0
1993,3,18,5.0,26.0
1993,3,19,5.0,25.0
1993,3,20,5.0,23.0
1993,3,21,3.0,20.0
1993,3,22,9.0,17.0
1993,3,23,9.0,16.0
1993,3,24,7.0,13.0
1993,3,25,6.0,11.0
1993,3,26,3.0,18.0
1993,3,27,0.0,10.0
1993,3,28,2.0,10.0
1993,3,29,-1.0,13.0
1993,3,30,-1.0,15.0
1993,3,31,-3.0,16.0
1993,4,1,-1.0,17.0
1993,4,2,6.0,19.0
1993,4,3,6.0,15.0
1993,4,4,4.0,12.0
1993,4,5,6.0,20.0
1993,4,6,3.0,21.0
1993,4,7,3.0,30.0
1993,4,8,6.0,23.0
1993,4,9,4.0,19.0
1993,4,10,6.0,15.0
1993,4,11,6.0,14.0
1993,4,12,5.0,13.0
1993,4,13,6.0,11.0
1993,4,14,5.0,26.0
1993,4,15,6.0,18.0
1993,4,16,3.0,23.0
1993,4,17,5.0,21.0
1993,4,18,2.0,22.0
1993,4,19,7.0,21.0
1993,4,20,5.0,24.0
1993,4,21,11.0,22.0
1993,4,22,6.0,24.0
1993,4,23,5.0,24.0
1993,4,24,8.0,24.0
1993,4,25,10.0,19.0
1993,4,26,10.0,24.0
1993,4,27,7.0,27.0
1993,4,28,12.0,19.0
1993,4,29,11.0,23.0
1993,4,30,11.0,17.0
1993,5,1,6.0,18.0
1993,5,2,7.0,22.0
1993,5,3,7.0,23.0
1993,5,4,10.0,26.0
1993,5,5,9.0,26.0
1993,5,6,9.0,22.0
1993,5,7,10.0,22.0
1993,5,8,9.0,24.0
1993,5,9,10.0,25.0
1993,5,10,12.0,27.0
1993,5,11,11.0,23.0
1993,5,12,11.0,22.0
1993,5,13,8.0,21.0
1993,5,14,7.0,24.0
