Tree ID,Name,DBH (cm),Replacement Value (eur),Carbon Storage (kg),Carbon Storage (eur),Gross Carbon Sequestration (kg/yr),Gross Carbon Sequestration (eur/yr),Avoided Runoff (mcube/yr),Avoided Runoff (eur/yr),Carbon Avoided (kg/yr),Carbon Avoided (eur/yr),Pollution Removal (g/yr),Pollution Removal (eur/yr),Energy Savings (eur/yr),Total Annual Benefits (eur/yr),Oxygen Production (kg/yr),Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Leaf Area (m2),Leaf Biomass (kg),Latitude,Longitude
1.0,Acer pseudoplatanus,8,179.43,12,1.92,1.1,0.17,0,0.01,,,5.1,0.03,,0.21,2.8,3.5,1,1.5,1.8,3.5,0.2,46.05159914222883,11.07201360817719
2.0,Acer pseudoplatanus,8,179.43,12.9,2.07,1.1,0.18,0,0.01,,,6.1,0.03,,0.23,3,5,1.5,1.5,1.8,4.2,0.3,46.05154063059297,11.07210837029894
3.0,Acer pseudoplatanus,9,227.09,16.2,2.61,1.3,0.2,0,0.01,,,5.8,0.03,,0.25,3.4,4.5,1.3,1.5,1.8,4,0.3,46.05166844032708,11.07195932258184
4.0,Acer pseudoplatanus,11,482.46,25.7,4.13,1.6,0.26,0,0.02,,,10.3,0.05,,0.34,4.3,5,1.5,2.5,4.9,7.1,0.5,46.06377842075697,11.15016968073646
7.0,Cupressus,25,1110.29,448.2,72.02,11.1,1.78,0,0.02,,,9.6,0.05,,1.85,29.5,8,2.4,1.5,1.8,6.6,1.5,46.05230472219292,11.07155020138579
8.0,Acer pseudoplatanus,9,227.09,16.2,2.61,1.3,0.2,0,0.01,,,6.1,0.03,,0.25,3.4,4.5,1.3,1.5,1.8,4.2,0.3,46.05200199105902,11.07176613353604
9.0,Acer pseudoplatanus,10,280.36,20,3.22,1.4,0.23,0,0.02,,,6.9,0.04,,0.28,3.8,4,1.2,2,3.1,4.8,0.3,46.05187389130863,11.07185674217745
10.0,Acer pseudoplatanus,10,280.36,20,3.22,1.4,0.23,0,0.02,,,8.4,0.04,,0.29,3.8,4,1.2,2,3.1,5.8,0.4,46.05213519552098,11.07167196661425
11.0,Acer pseudoplatanus,9,227.09,15.5,2.49,1.2,0.2,0,0.01,,,5.7,0.03,,0.24,3.3,3.5,1,1.5,1.8,3.9,0.3,46.05255109768282,11.0714391951951
12.0,Acer pseudoplatanus,10,280.36,20.9,3.35,1.5,0.23,0,0.02,,,9,0.05,,0.3,3.9,5,1.5,2,3.1,6.2,0.4,46.05246897627755,11.07147102669315
13.0,Acer platanoides,10,289.26,21.3,3.42,1.9,0.31,0,0.03,,,13.5,0.07000000000000001,,0.41,5.2,5,1.5,2.5,4.9,9.300000000000001,0.5,46.05195384017514,11.07180078624228
14.0,Acer pseudoplatanus,8,179.43,12.3,1.97,1.1,0.17,0,0.02,,,6.8,0.04,,0.22,2.9,4,1.2,2,3.1,4.7,0.3,46.05240384391877,11.07149909835312
15.0,Acer platanoides,9,234.3,16.9,2.72,1.7,0.28,0,0.02,,,9.699999999999999,0.05,,0.35,4.6,5,1.5,2,3.1,6.7,0.4,46.05223780779593,11.07159216735395
16.0,Acer pseudoplatanus,9,227.09,15.1,2.43,1.2,0.19,0,0.01,,,4.2,0.02,,0.22,3.2,3,0.9,1.5,1.8,2.9,0.2,46.05174871939224,11.07193479161635
17.0,Acer pseudoplatanus,10,280.36,20,3.22,1.4,0.23,0,0.02,,,6.4,0.03,,0.27,3.8,4,1.2,2,3.1,4.4,0.3,46.05137875257444,11.07226493287884
18.0,Acer pseudoplatanus,9,227.09,16.2,2.61,1.3,0.2,0,0.01,,,6.1,0.03,,0.25,3.4,4.5,1.3,1.5,1.8,4.2,0.3,46.04820132942247,11.14345231596931
36.0,Sophora japonica,15,615.01,33.5,5.39,1.6,0.26,0,0.01,,,5.8,0.03,,0.3,4.3,5,1.5,2,3.1,4,0.5,46.05132904026713,11.14522915194168
37.0,Tilia cordata,8,230.7,8.9,1.42,0.8,0.13,0,0.03,,,13.8,0.07000000000000001,,0.24,2.2,4.5,1.3,3,7.1,9.5,0.7,46.05150784377967,11.14571992881094
38.0,Tilia cordata,11,489.05,18.8,3.02,1.3,0.2,0,0.05,,,19.3,0.1,,0.35,3.4,5,1.5,3,7.1,13.3,1,46.05153198299634,11.14582919088651
