Name,Canopy,Carbon,Height
Acer pseudoplatanus,1.8,12.0,3.5
Acer pseudoplatanus,1.8,12.9,5.0
Acer pseudoplatanus,1.8,16.2,4.5
Acer pseudoplatanus,4.9,25.7,5.0
Cupressus,1.8,448.2,8.0
Acer pseudoplatanus,1.8,16.2,4.5
Acer pseudoplatanus,3.1,20.0,4.0
Acer pseudoplatanus,3.1,20.0,4.0
Acer pseudoplatanus,1.8,15.5,3.5
Acer pseudoplatanus,3.1,20.9,5.0
Acer platanoides,4.9,21.3,5.0
Acer pseudoplatanus,3.1,12.3,4.0
Acer platanoides,3.1,16.9,5.0
Acer pseudoplatanus,1.8,15.1,3.0
Acer pseudoplatanus,3.1,20.0,4.0
Acer pseudoplatanus,1.8,16.2,4.5
Sophora japonica,3.1,33.5,5.0
Tilia cordata,7.1,8.9,4.5
Tilia cordata,7.1,18.8,5.0
Tilia cordata,7.1,18.8,5.0
Tilia cordata,3.1,6.5,4.0
Tilia cordata,28.3,60.0,6.0
Tilia cordata,28.3,52.4,7.0
Tilia cordata,28.3,52.4,7.0
Tilia cordata,19.6,33.2,7.0
Acer pseudoplatanus,7.1,4.4,4.0
Acer pseudoplatanus,7.1,32.2,6.0
Acer pseudoplatanus,9.6,32.2,6.0
Acer pseudoplatanus,4.9,16.6,5.0
Acer pseudoplatanus,4.9,20.9,5.0
Acer pseudoplatanus,4.9,20.9,5.0
Acer pseudoplatanus,3.1,2.9,5.0
Acer pseudoplatanus,7.1,20.9,5.0
Acer pseudoplatanus,7.1,31.1,5.0
Acer pseudoplatanus,0.8,0.6,5.0
Acer pseudoplatanus,3.1,2.9,5.0
Acer campestre,3.1,5.0,6.0
Acer campestre,3.1,14.8,8.0
Acer campestre,7.1,20.4,4.0
Acer tataricum ssp. ginnala,3.1,5.3,4.0
Acer tataricum ssp. ginnala,3.1,5.3,4.0
Fagus,1.8,18.6,4.5
Fagus,1.8,18.6,4.5
Fagus,1.8,25.4,4.5
Fagus,1.8,25.4,4.5
Fagus,1.8,25.4,4.5
Fagus,1.8,25.4,4.5
Fagus,3.1,25.4,3.5
Fagus,1.8,18.6,4.5
Acer campestre,3.1,7.0,5.0
Acer opalus,3.1,13.5,5.0
Tilia cordata,7.1,8.9,4.5
Tilia cordata,4.9,15.0,4.5
Tilia cordata,0.8,8.9,4.5
Tilia cordata,3.1,8.9,4.5
Tilia cordata,7.1,18.8,5.0
Tilia cordata,7.1,18.8,5.0
Tilia cordata,7.1,18.8,5.0
Tilia cordata,7.1,8.9,4.5
Tilia cordata,0.8,8.9,2.0
Sophora japonica,3.1,13.2,5.0
Sophora japonica,3.1,13.2,5.0
Tilia cordata,3.1,6.5,4.5
Tilia cordata,3.1,6.5,4.5
Tilia cordata,7.1,18.8,5.0
Tilia cordata,7.1,18.8,5.0
Tilia cordata,4.9,11.7,4.5
Tilia cordata,4.9,15.0,4.5
Tilia cordata,4.9,15.0,4.5
Tilia cordata,4.9,15.0,5.0
Tilia cordata,4.9,15.0,4.5
Tilia cordata,4.9,18.8,5.0
Tilia cordata,4.9,18.8,5.0
Tilia cordata,4.9,18.8,5.0
Tilia cordata,7.1,18.8,5.0
Tilia cordata,7.1,18.8,5.0
Tilia cordata,7.1,18.8,5.0
Tilia cordata,4.9,18.8,5.0
Tilia cordata,4.9,18.8,5.0
Sorbus,12.6,131.7,5.0
Sorbus,7.1,131.7,5.0
Sorbus,12.6,131.7,5.0
Sorbus,12.6,131.7,5.0
Sorbus,7.1,48.9,4.0
