name,numero_cir,tree,density,oxygen,area
MEANO,2,206,0.00019959673326064623,2961.1000000000004,15712181
BONDONE,3,292,0.00016183121179983334,4559.900000000003,36949609
SARDAGNA,4,38,4.4925984094908815e-05,580.5,8663138
ARGENTARIO,6,454,0.000940656536002632,6848.299999999997,13199398
S.GIUSEPPE-S.CHIARA,11,3024,0.03036853282852104,51717.30000000004,3073349
POVO,7,189,0.000185760973335923,2762.2000000000003,15433274
RAVINA-ROMAGNANO,5,319,0.00037689257509942184,3680.800000000003,16687779
MATTARELLO,8,264,0.0003044201990852294,3492.6,16409555
VILLAZZANO,9,416,0.0008651256512445302,5392.40000000001,7342864
OLTREFERSINA,10,2695,0.012638248437541721,43063.999999999745,6962104
GARDOLO,1,1651,0.0030936297163549524,12353.700000000019,8817959
CENTRO STORICO PIEDICASTELLO,12,2964,0.015255497319368384,53818.39999999966,8599464
